Name,FundSize_Preqin,Sum_wtvpi,Sum_wirr_preqin,Firm_age,LogFundSize_Preqin,FundSize_Calvin,LogFundSize_Calvin,Log_Staffcount,Sum_wirr_all,MissingIRR,BuyoutFund,VCGrowthCapital,Diversified,Healthcare,Technology,ConsumerGoods,OtherIndustry,Public,HasESGonWebsite,E_navigationalpage,E_document,E_Portfoliocasestudies,E_Media,E_AdoptTCFD,E_SignatorytoICI,E_SignatoryNetZeroAsset,E_CarbonNeutralProtocolCert,S_navigationalpage,S_document,S_Portfoliocasestudies,S_Media,S_DEIpolicy,S_DEIcommittee,S_ChiefDiversityOfficer,S_SignatoryILPADiversity,S_SignatoryCEOAction,S_SponsorLevel20,S_10pctWomeninBoard,S_10pctWomeninLeadership,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryPRI,Other_AdoptAICGuidelines,Other_AdoptSASBstandards,Other_AlignwithSDGs,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,E_ALLSignatory,S_HasDEI,S_ALLSignatory,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_WeightedESGScore_1,S_WeightedESGScore_1,G_WeightedESGScore_1,Other_WeightedESGScore_1,Total_WeightedESGScore_1,E_WeightedESGScore_2,S_WeightedESGScore_2,G_WeightedESGScore_2,Other_WeightedESGScore_2,Total_WeightedESGScore_2,Total_WeightedESGScore_3,Total_WeightedESGScore_4,E_WeightedESGScore_5,S_WeightedESGScore_5,G_WeightedESGScore_5,Other_WeightedESGScore_5,Total_WeightedESGScore_5,Total_WeightedESGScore_6,Total_WeightedESGScore_7,Total_WeightedESGScore_8,E_GreenwashingScore_1,E_HasDocsOrMedia,E_GreenwashingScore_2,E_HasDocsOrMedia_2,S_GreenwashingScore_1,S_HasDocsOrMedia,S_GreenwashingScore_2,S_HasDocsOrMedia_2,High_Frameworks,Medium_Frameworks,Low_Frameworks,Low_Medium_Frameworks
Nautic Partners,7612.39990234375,0.6165547370910645,11.692935943603516,35,8.937533378601074,4500,8.411832809448242,4.094344615936279,11.692935943603516,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
"Welsh, Carson, Anderson & Stowe",11780,1.0826208591461182,12.331714630126951,42,9.37415885925293,4336,8.374707221984863,4.605170249938965,12.331714630126951,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.3333333432674408,0,0.3076923191547394,1.2820513248443604,0,0.20000000298023224,0,0.1818181872367859,0.7636363506317139,3,0.38181817531585693,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.5636363625526428,0.6000000238418579,0,0,0,0,0,0,0,0,0,2,1,3
L Catterton,18507.7890625,0.35128089785575867,3.4068915843963623,32,9.825946807861328,21639,9.98225212097168,5.105945587158203,3.4068915843963623,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.4166666567325592,0,0,0,0,0.30000001192092896,0,0,0,3,0,0,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
Providence Equity Partners,33451.6015625,0.5765700936317444,7.283806800842285,32,10.417855262756348,6021,8.703008651733398,5.1873860359191895,7.283806800842285,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.25,0.25,0.2307692319154739,1.2115384340286257,0,0.30000001192092896,0.25,0.09090909361839294,1.031818151473999,1,0.6409090757369995,0,0.4000000059604645,0.5,0.20000000298023224,1.7000000476837158,1.100000023841858,0.7318181991577148,1.2999999523162842,0,0,0,0,3,1,2,1,0,0,1,1
Adams Street Partners,42897.23828125,1.4125864505767822,14.264617919921877,49,10.666563034057615,14833,9.604609489440918,5.393627643585205,14.264617919921877,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0.3636363744735718,0.5,0,0.3846153914928436,2.860139846801758,0,0.6000000238418579,0,0.27272728085517883,1.7454545497894287,4,0.8727272748947144,0,0.6000000238418579,0,0.4000000059604645,2,1,1.1454546451568604,1.4000000953674316,0,0,0,0,2,1,1,1,2,2,0,2
Trilantic North America,4049,1.5559444427490234,14.71230411529541,12,8.306224822998047,3924,8.274867057800293,3.912023067474365,14.71230411529541,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0.6666666865348816,0,0.5384615659713745,2.4102563858032227,0,0.6000000238418579,0,0.4545454680919647,2.10909104347229,3,1.054545521736145,0,0.6000000238418579,0,0.6000000238418579,2.4000000953674316,1.2000000476837158,1.5090909004211426,1.8000000715255735,0,0,0,0,1,1,1,1,0,2,1,3
Arcline Investment Management,4250,NA,NA,3,8.354674339294434,4250,8.354674339294434,3.6888794898986816,24.489999771118164,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3076923191547394,0.6153846383094788,0,0,0,0.1818181872367859,0.3636363744735718,1,0.1818181872367859,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.3636363744735718,0.4000000059604645,0,0,0,0,0,0,0,0,0,0,1,1
American Securities,10961,1.091690182685852,18.431381225585938,27,9.302099227905272,7860,8.969541549682617,3.9512436389923096,18.431381225585938,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0.1538461595773697,1.307692289352417,0,0.4000000059604645,0,0.1818181872367859,1.1636364459991455,1,0.5818182229995728,0,0.4000000059604645,0,0.20000000298023224,1.2000000476837158,0.6000000238418579,0.7636363506317139,0.800000011920929,0,0,0,0,2,1,2,1,0,1,0,1
AEA Investors,13070.7001953125,NA,4.311389923095703,53,9.47812843322754,5700,8.648221015930176,5.147494316101074,4.311389923095703,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.3846153914928436,0.7692307829856873,0,0,0,0.27272728085517883,0.5454545617103577,3,0.27272728085517883,0,0,0,0.4000000059604645,0.800000011920929,0.4000000059604645,0.5454545617103577,0.800000011920929,0,0,0,0,0,0,0,0,1,1,1,2
Clayton Dubilier & Rice,36997.6015625,0.366160124540329,3.5407700538635254,43,10.51860809326172,33699,10.425223350524902,5.231108665466309,3.5407700538635254,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.5,0,0.1538461595773697,1.307692289352417,0,0.4000000059604645,0,0,0.800000011920929,4,0.4000000059604645,0,0.4000000059604645,0,0,0.800000011920929,0.4000000059604645,0.4000000059604645,0.4000000059604645,0,0,0,0,2,1,2,1,0,2,2,4
The Jordan Company,13107.2998046875,1.0200117826461792,20.054244995117188,39,9.480924606323242,6728,8.814033508300781,4.043051242828369,20.054244995117188,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.4166666567325592,0,0.3846153914928436,1.6025640964508057,0,0.30000001192092896,0,0.27272728085517883,1.1454546451568604,3,0.5727273225784302,0,0.20000000298023224,0,0.4000000059604645,1.2000000476837158,0.6000000238418579,0.8454545736312866,1,0,0,0,0,0,0,0,0,0,2,1,3
Blue Owl Capital,18077.5,0.9988181591033936,36.34905242919922,0,9.802423477172852,16290,9.698307037353516,5.857933044433594,36.34905242919922,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.5,0,0.1538461595773697,1.307692289352417,0,0.6000000238418579,0,0.1818181872367859,1.5636364221572876,0,0.7818182110786438,0,0.6000000238418579,0,0.20000000298023224,1.600000023841858,0.800000011920929,0.9636363983154296,1,0,0,0,0,2,1,1,1,0,0,0,0
Spectrum Equity,4915,0.27739572525024414,3.7261078357696538,27,8.500046730041504,3470,8.151909828186035,3.871201038360596,3.7261078357696538,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
TA Associates,37526.5,0.9192700386047364,8.726846694946289,53,10.53280258178711,23500,10.0647554397583,5.26269006729126,8.726846694946289,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0.4166666567325592,0,0.07692307978868484,0.9871794581413268,0,0.30000001192092896,0,0.09090909361839294,0.7818182110786438,2,0.3909091055393219,0,0.4000000059604645,0,0.20000000298023224,1.2000000476837158,0.6000000238418579,0.4818181991577149,0.800000011920929,0,0,0,0,2,1,2,1,0,1,1,2
Summit Partners,28704.380859375,0.7796350121498108,5.2804131507873535,37,10.26480484008789,19639,9.885272979736328,5.2522735595703125,5.2804131507873535,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTV Capital,5956,NA,6.597945213317871,23,8.6921539306640625,3824,8.249052047729492,3.713572025299072,6.597945213317871,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.25,0,0.1538461595773697,0.807692289352417,0,0.30000001192092896,0,0,0.6000000238418579,1,0.30000001192092896,0,0.20000000298023224,0,0,0.4000000059604645,0.20000000298023224,0.30000001192092896,0.20000000298023224,0,0,0,0,0,0,0,0,0,1,0,1
RedBird Capital Partners,3765,NA,NA,8,8.233503341674805,3324,8.10892391204834,3.912023067474365,4.889999866485596,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Insight Partners,29572.19921875,2.6083364486694336,21.613142013549805,26,10.29458999633789,40131,10.59990406036377,5.7868971824646,21.613142013549805,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Arctos Sports Partners,2120,NA,NA,1,7.6591715812683105,4266,8.358431816101074,3.332204580307007,41.06999969482422,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
TSG Consumer Partners,11788.099609375,0.28562700748443604,8.157379150390625,34,9.374845504760742,4000,8.294049263000488,4.204692840576172,8.157379150390625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
PSG,NA,NA,NA,7,NA,9578,9.167223930358888,5.605802059173584,78.80000305175781,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333358168602,0,0,0.1666666716337204,0,0.10000000149011612,0,0,0.20000000298023224,0,0.10000000149011612,0,0.20000000298023224,0,0,0.4000000059604645,0.20000000298023224,0.10000000149011612,0.20000000298023224,0,0,0,0,4,1,3,1,0,0,0,0
Tiger Global Management,38823.19921875,NA,NA,20,10.566773414611816,15641,9.6576509475708,4.634728908538818,26,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
General Atlantic,23539,0.3494027853012085,NA,41,10.066413879394531,44832,10.71067714691162,6.120297431945801,33.43000030517578,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCV,12345,0.5981353521347046,12.200810432434082,26,9.421006202697754,7621,8.9386625289917,4.127134323120117,12.200810432434082,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Sapphire Ventures,7186.60009765625,NA,NA,11,8.879973411560059,4821,8.48073673248291,4.2626800537109375,12.899999618530272,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Accel,23914.880859375,0.269306480884552,0.5437037348747253,38,10.082256317138672,4459,8.402679443359375,6.289715766906738,0.5437037348747253,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Andreessen Horowitz,40191.19921875,NA,NA,12,10.60140323638916,12297,9.417110443115234,5.739792823791504,16.229999542236328,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Lightspeed Venture Partners,19145.150390625,0.5980059504508972,6.079574108123779,21,9.8598051071167,6958,8.847647666931152,5.517452716827393,6.079574108123779,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Thrive Capital,7393,NA,NA,12,8.908288955688477,6000,8.699514389038086,4.043051242828369,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
GGV Capital,4415.6201171875,1.665468454360962,14.272231101989746,21,8.392903327941895,5160,8.548691749572754,3.828641414642334,14.272231101989746,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
New Enterprise Associates,22293.19921875,0.30822643637657166,10.743876457214355,44,10.01203727722168,10006,9.21094036102295,4.744932174682617,10.743876457214355,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
General Catalyst Partners,13404.900390625,0.8628315925598145,NA,21,9.503376007080078,8310,9.02521514892578,4.330733299255371,93.63999938964844,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Index Ventures,NA,NA,NA,25,NA,6100,8.716044425964355,3.9512436389923096,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Sequoia Capital,40282.08984375,0.6268630623817444,12.568352699279783,49,10.603662490844728,8841,9.08715534210205,2.944438934326172,12.568352699279783,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Battery Ventures,11505,1.3571127653121948,14.14863109588623,38,9.350537300109863,3741,8.227108001708984,4.343805313110352,14.14863109588623,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Flagship Pioneering,6476,0.2868660092353821,4.851250648498535,22,8.775857925415039,4812,8.47886848449707,5.2729997634887695,4.851250648498535,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Norwest Venture Partners,10750,NA,NA,36,9.28266143798828,6500,8.779557228088379,4.18965482711792,NA,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27272728085517883,0.25,0,0,0,0.6000000238418579,0.30000001192092896,0,0,0,0,0,0.3333333432674408,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
