Name,established,Staffcounttotal,Totalfundsraised10yearsmn,International,Totalnumberoffunds,FundSize_Preqin,Auditor_pct,Avg_vintage,Scale_number_portfolio_companies,Sum_wtvpi,Sum_wirr_preqin,Firm_age,LogFundSize_Preqin,FundSize_Calvin,WestCoast,EastCoast,OtherUSLocation,LogFundSize_Calvin,Log_Staffcount,Sum_wirr_all,MissingIRR,BuyoutFund,VCGrowthCapital,Diversified,Healthcare,Technology,ConsumerGoods,OtherIndustry,Public,HasESGonWebsite,E_navigationalpage,E_document,E_Portfoliocasestudies,E_Media,E_AdoptTCFD,E_SignatorytoICI,E_SignatoryNetZeroAsset,E_CarbonNeutralProtocolCert,S_navigationalpage,S_document,S_Portfoliocasestudies,S_Media,S_DEIpolicy,S_DEIcommittee,S_ChiefDiversityOfficer,S_SignatoryILPADiversity,S_SignatoryCEOAction,S_SponsorLevel20,S_10pctWomeninBoard,S_10pctWomeninLeadership,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryPRI,Other_AdoptAICGuidelines,Other_AdoptSASBstandards,Other_AlignwithSDGs,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,E_ALLSignatory,S_HasDEI,S_ALLSignatory,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_WeightedESGScore_1,S_WeightedESGScore_1,G_WeightedESGScore_1,Other_WeightedESGScore_1,Total_WeightedESGScore_1,E_WeightedESGScore_2,S_WeightedESGScore_2,G_WeightedESGScore_2,Other_WeightedESGScore_2,Total_WeightedESGScore_2,Total_WeightedESGScore_3,Total_WeightedESGScore_4,E_WeightedESGScore_5,S_WeightedESGScore_5,G_WeightedESGScore_5,Other_WeightedESGScore_5,Total_WeightedESGScore_5,Total_WeightedESGScore_6,Total_WeightedESGScore_7,Total_WeightedESGScore_8,E_GreenwashingScore_1,E_HasDocsOrMedia,E_GreenwashingScore_2,E_HasDocsOrMedia_2,S_GreenwashingScore_1,S_HasDocsOrMedia,S_GreenwashingScore_2,S_HasDocsOrMedia_2,Other_GreenwashingScore_1,Total_EorSDocsOrMedia,Other_GreenwashingScore_2,Total_EorSDocsOrMedia_2,Total_GreenwashingScore_1,Total_GreenwashingScore_2,High_Frameworks,Medium_Frameworks,Low_Frameworks,Low_Medium_Frameworks
Searchlight Capital Partners,2010,95,NA,0,3,6203,1,2015,NA,NA,1.3232307434082031,11,8.7327880859375,3400,0,1,0,8.13153076171875,4.553876876831055,1.3232307434082031,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Vista Equity Partners,2000,503,61481.7,0,32,52167.80078125,0.75,2018.25,2,0.8875212073326111,11.234091758728027,21,10.862220764160156,37806,0,0,1,10.540223121643066,6.220590114593506,11.234091758728027,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0.27272728085517883,0.5,0.25,0.5384615659713745,3.1451048851013184,0.20000000298023224,0.4000000059604645,0.25,0.4545454680919647,2.5590908527374268,3,1.304545521736145,0.3333333432674408,0.4000000059604645,0.5,0.6000000238418579,3.5,1.8333333730697632,1.9590909481048584,2.7666666507720947,3,1,1,1,2,1,2,1,2,1,2,1,7,5,0,2,1,3
K1 Investment Management,2010,71,7240,0,7,7460,0.8571428656578064,2016.7142333984375,NA,0.270114541053772,4.2110185623168945,11,8.91731071472168,7264,1,0,0,8.89068603515625,4.2626800537109375,4.2110185623168945,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ACON Investments,1996,55,3400.8,1,8,3514.800048828125,0.875,2017.875,1,0.6350513696670532,7.3952202796936035,25,8.164737701416016,3442,0,1,0,8.143808364868164,4.007333278656006,7.3952202796936035,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Thomas H Lee Partners,1974,77,14473.1,1,7,8283.099609375,0.1428571492433548,2020.4285888671875,1,NA,NA,47,9.02197265625,10080,0,1,0,9.218308448791504,4.343805313110352,26.420000076293945,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
One Equity Partners,2001,46,7471.9,1,6,7471.89990234375,0.5,2018.6666259765625,1,NA,NA,20,8.918904304504395,3400,0,1,0,8.13153076171875,3.828641414642334,NA,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0.5,0,0.30000001192092896,0,0,0.6000000238418579,0,0.30000001192092896,0,0.20000000298023224,0,0,0.4000000059604645,0.20000000298023224,0.30000001192092896,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veritas Capital,1992,94,24375,0,5,14204,0.4000000059604645,2016.4000244140625,NA,NA,2.305032253265381,29,9.561279296875,19208,0,1,0,9.863081932067871,4.543294906616211,2.305032253265381,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Roark Capital Group,2001,108,16523.7,0,9,13314.900390625,1,2015.4444580078125,2,0.8420040607452393,13.425185203552246,20,9.496639251708984,7500,0,0,1,8.92265796661377,4.682131290435791,13.425185203552246,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.3333333432674408,0,0,0.6666666865348816,0,0.4000000059604645,0,0,0.800000011920929,0,0.4000000059604645,0,0.6000000238418579,0,0,1.2000000476837158,0.6000000238418579,0.4000000059604645,0.6000000238418579,0,0,0,0,3,1,2,1,6,1,5,1,9,7,0,0,0,0
KPS Capital Partners,1998,64,10713.8,0,3,10897.5,1,2013.3333740234375,1,NA,7.241945266723633,23,9.29628849029541,7142,0,1,0,8.873747825622559,4.158883094787598,7.241945266723633,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Lindsay Goldberg,2001,48,NA,0,3,11629.2001953125,1,2014,NA,NA,14.363663673400879,20,9.361274719238281,3758,0,1,0,8.23164176940918,3.8712010383605957,14.363663673400879,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GI Partners,2001,93,9336.4,0,12,10635,0.6666666865348816,2019.0833740234375,NA,0.39469805359840393,5.5458984375,20,9.271905899047852,9002,1,0,0,9.105201721191406,4.532599449157715,5.5458984375,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.23076923191547394,0.4615384638309479,0,0,0,0.09090909361839294,0.1818181872367859,1,0.09090909361839294,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.1818181872367859,0.4000000059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Thoma Bravo,1980,200,88114.3,0,26,86793.6015625,0.6153846383094788,2018.5,1,0.7425498366355896,15.215579986572266,41,11.371288299560547,50257,1,0,0,10.824905395507812,5.2983174324035645,15.215579986572266,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.5833333134651184,0,0.23076923191547394,1.6282050609588623,0,0.5,0,0.27272728085517883,1.545454502105713,1,0.7727272510528564,0,0.6000000238418579,0,0.4000000059604645,2,1,1.045454502105713,1.4000000953674316,0,0,0,0,2,1,2,1,4,1,3,1,6,5,0,1,0,1
Berkshire Partners,1984,137,NA,0,8,13934,0.625,2017,NA,0.49132585525512695,9.914525985717773,37,9.54208755493164,4525,0,1,0,8.417372703552246,4.919981002807617,9.914525985717773,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0.4166666567325592,0,0.23076923191547394,1.2948718070983887,0,0.30000001192092896,0,0.09090909361839294,0.7818182110786438,2,0.3909091055393219,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.48181819915771484,0.6000000238418579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Silver Lake,1999,215,50464.1,0,24,62462,0.4166666567325592,2017.6666259765625,2,0.880760133266449,15.151996612548828,22,11.042313575744629,37286,1,0,0,10.526372909545898,5.370637893676758,15.151996612548828,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Kelso & Company,1971,55,7266.5,0,12,10718.5,0.6666666865348816,2018.75,NA,NA,20.405607223510742,50,9.279726028442383,6579,0,1,0,8.791638374328613,4.007333278656006,20.405607223510742,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Genstar Capital Partners,1988,41,25762,0,10,27312,0.800000011920929,2017,1,0.2157870978116989,9.230192184448242,33,10.215081214904785,21150,1,0,0,9.959395408630371,3.7135720252990723,9.230192184448242,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Altaris,2003,30,NA,0,7,4943,1,2016.2857666015625,NA,0.5108084082603455,15.749848365783691,18,8.505727767944336,3851,0,1,0,8.2560882568359375,3.4011974334716797,15.749848365783691,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Madison Dearborn Partners,1992,75,10523.6,0,5,21095.599609375,1,2014,NA,1.2717393636703491,10.090269088745117,29,9.956819534301758,7552,0,0,1,8.929567337036133,4.317488193511963,10.090269088745117,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Siguler Guff,1991,105,8629.6,1,22,10230,0.5,2014.272705078125,NA,0.3852689862251282,4.636658668518066,30,9.23307991027832,4379,0,1,0,8.384575843811035,4.653960227966309,4.636658668518066,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3076923191547394,0.6153846383094788,0,0,0,0.1818181872367859,0.3636363744735718,1,0.1818181872367859,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.3636363744735718,0.4000000059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Arsenal Capital Partners,2000,83,9940,0,9,10435,1,2017.22216796875,NA,0.6115243434906006,5.649497032165527,21,9.252921104431152,8380,0,1,0,9.03360366821289,4.418840408325195,5.649497032165527,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4166666567325592,0,0.1538461595773697,1.1410256624221802,0,0.30000001192092896,0,0.1818181872367859,0.9636363983154297,1,0.48181819915771484,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.6636363863945007,0.6000000238418579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Coatue Management,1999,156,12609.4,0,3,706.5,1,2019.6666259765625,3,NA,NA,22,6.560323238372803,7021,0,1,0,8.856660842895508,5.049856185913086,47,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Carlyle Group,1987,894,109563.92,1,117,105691.3203125,0.5811966061592102,2017.1025390625,3,0.12635429203510284,8.859728813171387,34,11.568278312683105,48441,0,1,0,10.788102149963379,6.795705795288086,8.859728813171387,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,7,0,3,1,1,0,1,7,3,5,5,2,1,0,1,0,1,0,1,0,1,0,1,2,0,0,0,1,0
Bregal Sagemount,2012,53,5922,0,7,5922,0.5714285969734192,2017.857177734375,1,0.5334885120391846,4.817831993103027,9,8.686429977416992,6106,0,1,0,8.717026710510254,3.97029185295105,4.817831993103027,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0.4545454680919647,0.5,0.75,0.38461539149284363,3.8828670978546143,0.6000000238418579,0.4000000059604645,0.75,0.27272728085517883,3.8954546451568604,4,2.0227272510528564,0.3333333432674408,0.4000000059604645,0.5,0.4000000059604645,3.1000001430511475,1.6333333253860474,2.8954546451568604,2.366666793823242,0,0,0,0,2,1,2,1,3,1,3,1,5,5,0,2,2,4
H.I.G. Capital,1993,847,16237.72,1,14,14308.919921875,0.7857142686843872,2017.2142333984375,3,0.6426466703414917,1.0936744213104248,28,9.568638801574707,14966,0,0,1,9.61353588104248,6.741700649261475,1.0936744213104248,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Advent International,1984,470,77403.25,1,17,81935.890625,0.7058823704719543,2017.7059326171875,NA,0.3539446294307709,7.0389323234558105,37,11.313692092895508,25500,0,1,0,10.14643383026123,6.152732849121094,7.0389323234558105,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.3636363744735718,0.5833333134651184,1,0,0,0.800000011920929,0.699999988079071,1,0,0,0,0,0.6666666865348816,0.800000011920929,1,0,0,0,0,0,3,1,0,1,2,1,1,1,3,1,2,1,8,3,0,0,0,0
Gryphon Investors,1995,120,7129.8,0,7,6283.7998046875,0.8571428656578064,2017.2857666015625,1,0.41874781250953674,4.284350395202637,26,8.74573040008545,5330,1,0,0,8.581106185913086,4.787491798400879,4.284350395202637,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Ridgemont Equity Partners,1993,59,NA,0,7,6560,0.8571428656578064,2017,NA,0.3559068739414215,9.532698631286621,28,8.788745880126953,4604,0,0,1,8.434680938720703,4.077537536621094,9.532698631286621,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Sycamore Partners,2011,65,NA,0,3,8250,1,2014.3333740234375,NA,0.23176322877407074,-0.315151572227478,10,9.01796817779541,5968,0,1,0,8.694167137145996,4.174387454986572,-0.315151572227478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Great Hill Partners,1998,71,9867,0,5,11000,0.800000011920929,2016,1,0.6614344120025635,14.589371681213379,23,9.30565071105957,9382,0,1,0,9.1465482711792,4.2626800537109375,14.589371681213379,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1666666716337204,0,0.23076923191547394,0.7948718070983887,0,0.20000000298023224,0,0.27272728085517883,0.9454545974731445,0,0.47272729873657227,0,0.20000000298023224,0,0.4000000059604645,1.2000000476837158,0.6000000238418579,0.7454545497894287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clearlake Capital Group,2006,77,33639.5,0,14,781.5,0.7857142686843872,2021.142822265625,1,NA,NA,15,6.661215305328369,42350,1,0,0,10.65372371673584,4.343805313110352,241.6199951171875,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
