Name,established,Staffcounttotal,Totalfundsraised10yearsmn,International,Totalnumberoffunds,FundSize_Preqin,Auditor_pct,Avg_vintage,Scale_number_portfolio_companies,Sum_wtvpi,Sum_wirr_preqin,Firm_age,LogFundSize_Preqin,FundSize_Calvin,WestCoast,EastCoast,OtherUSLocation,LogFundSize_Calvin,Log_Staffcount,Sum_wirr_all,MissingIRR,BuyoutFund,VCGrowthCapital,Diversified,Healthcare,Technology,ConsumerGoods,OtherIndustry,Public,HasESGonWebsite,E_navigationalpage,E_document,E_Portfoliocasestudies,E_Media,E_AdoptTCFD,E_SignatorytoICI,E_SignatoryNetZeroAsset,E_CarbonNeutralProtocolCert,S_navigationalpage,S_document,S_Portfoliocasestudies,S_Media,S_DEIpolicy,S_DEIcommittee,S_ChiefDiversityOfficer,S_SignatoryILPADiversity,S_SignatoryCEOAction,S_SponsorLevel20,S_10pctWomeninBoard,S_10pctWomeninLeadership,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryPRI,Other_AdoptAICGuidelines,Other_AdoptSASBstandards,Other_AlignwithSDGs,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,E_ALLSignatory,S_HasDEI,S_ALLSignatory,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_WeightedESGScore_1,S_WeightedESGScore_1,G_WeightedESGScore_1,Other_WeightedESGScore_1,Total_WeightedESGScore_1,E_WeightedESGScore_2,S_WeightedESGScore_2,G_WeightedESGScore_2,Other_WeightedESGScore_2,Total_WeightedESGScore_2,Total_WeightedESGScore_3,Total_WeightedESGScore_4,E_WeightedESGScore_5,S_WeightedESGScore_5,G_WeightedESGScore_5,Other_WeightedESGScore_5,Total_WeightedESGScore_5,Total_WeightedESGScore_6,Total_WeightedESGScore_7,Total_WeightedESGScore_8,E_GreenwashingScore_1,E_HasDocsOrMedia,E_GreenwashingScore_2,E_HasDocsOrMedia_2,S_GreenwashingScore_1,S_HasDocsOrMedia,S_GreenwashingScore_2,S_HasDocsOrMedia_2,Other_GreenwashingScore_1,Total_EorSDocsOrMedia,Other_GreenwashingScore_2,Total_EorSDocsOrMedia_2,Total_GreenwashingScore_1,Total_GreenwashingScore_2,High_Frameworks,Medium_Frameworks,Low_Frameworks,Low_Medium_Frameworks
Bain Capital,1984,694,55373.18,1,25,79736.40625,0.7200000286102295,2014.8800048828125,3,0.6872443556785583,7.743888854980469,37,11.286481857299805,38985,0,1,0,10.570932388305664,6.542471885681152,7.743888854980469,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0.5454545617103577,0.5,1,0.38461539149284363,4.405594348907471,0.800000011920929,0.6000000238418579,1,0.27272728085517883,5.145454406738281,1,2.672727346420288,0.6666666865348816,0.6000000238418579,1,0.4000000059604645,5,2.6666667461395264,3.7454545497894287,3.7333333492279053,2,1,0,1,2,1,1,1,3,1,3,1,7,4,1,1,0,1
HarbourVest Partners,1982,678,60095.83,1,114,80074.8984375,0.7017543911933899,2014.24560546875,3,0.43199464678764343,8.491778373718262,39,11.290718078613281,11904,0,1,0,9.38463020324707,6.5191473960876465,8.491778373718262,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.3636363744735718,0.4166666567325592,0,0,0,0,0.30000001192092896,0,0.4545454680919647,1.5090909004211426,0,0.7545454502105713,0,0.4000000059604645,0,0.6000000238418579,2,1,1.2090909481048584,1.600000023841858,0,0,0,0,2,1,2,1,2,1,2,1,4,4,2,0,1,0
Warburg Pincus,1966,673,65084,1,11,67861,0.7272727489471436,2017.272705078125,3,0.2927454710006714,9.35482120513916,55,11.125216484069824,35010,0,1,0,10.46338939666748,6.511745452880859,9.35482120513916,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.38461539149284363,0.7692307829856873,0,0,0,0.27272728085517883,0.5454545617103577,1,0.27272728085517883,0,0,0,0.4000000059604645,0.800000011920929,0.4000000059604645,0.5454545617103577,0.800000011920929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Audax Group,1999,185,NA,0,11,10917.400390625,0.8181818127632141,2014.3636474609375,NA,NA,9.588665008544922,22,9.298112869262695,6394,0,1,0,8.763114929199219,5.220355987548828,9.588665008544922,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0.3333333432674408,0,0.5384615659713745,1.7435898780822754,0,0.20000000298023224,0,0.4545454680919647,1.3090909719467163,2,0.6545454859733582,0,0.20000000298023224,0,0.6000000238418579,1.600000023841858,0.800000011920929,1.1090909242630005,1.4000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TowerBrook,2005,102,NA,1,2,6477.2998046875,1,2011,NA,NA,18.028549194335938,16,8.7760591506958,5300,0,1,0,8.575462341308594,4.624972820281982,18.028549194335938,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0.6666666865348816,0,1,3.3333334922790527,0,0.6000000238418579,0,1,3.200000047683716,3,1.600000023841858,0,0.6000000238418579,0,1,3.200000047683716,1.600000023841858,2.5999999046325684,2.5999999046325684,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,2,3
Kohlberg & Company,1987,103,NA,0,5,8205.099609375,1,2017.4000244140625,NA,0.5028131604194641,8.84752368927002,34,9.012511253356934,4500,0,0,1,8.411832809448242,4.634728908538818,8.84752368927002,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.25,0,0.38461539149284363,1.269230842590332,0,0.30000001192092896,0,0.4545454680919647,1.5090909004211426,0,0.7545454502105713,0,0.4000000059604645,0,0.6000000238418579,2,1,1.2090909481048584,1.600000023841858,0,0,0,0,3,1,2,1,3,1,2,1,6,4,0,0,0,0
Siris Capital,2011,63,NA,0,4,5901,0.75,2016.75,NA,NA,18.05129623413086,10,8.682877540588379,3450,0,1,0,8.146129608154297,4.143134593963623,18.05129623413086,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.1538461595773697,0.807692289352417,0,0.30000001192092896,0,0.1818181872367859,0.9636363983154297,0,0.48181819915771484,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.6636363863945007,0.6000000238418579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonard Green & Partners,1989,58,48900,0,11,35900,0.8181818127632141,2018.6363525390625,1,1.3893046379089355,13.850835800170898,32,10.488492965698242,34490,1,0,0,10.448424339294434,4.060442924499512,13.850835800170898,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
The Vistria Group,2013,70,5448.3,0,9,5403.2998046875,0.8888888955116272,2019.111083984375,NA,0.6099526882171631,5.638717174530029,8,8.594764709472656,4652,0,0,1,8.445052146911621,4.248495101928711,5.638717174530029,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0.1818181872367859,0,0,0.5384615659713745,1.622377634048462,0,0,0,0.4545454680919647,0.9090909361839294,3,0.4545454680919647,0,0,0,0.6000000238418579,1.2000000476837158,0.6000000238418579,0.9090909361839294,1.2000000476837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
Charlesbank Capital Partners,1998,97,11590,0,10,10440,0.5,2019.800048828125,1,0.7890959978103638,7.961542129516602,23,9.253399848937988,10611,0,1,0,9.269646644592285,4.574710845947266,7.961542129516602,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone Group,1985,3700,115447.3,1,54,135995.296875,0.29629629850387573,2018,2,0.7951598763465881,12.733414649963379,36,11.820375442504883,82457,0,1,0,11.320032119750977,8.21608829498291,12.733414649963379,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0.27272728085517883,0.5833333134651184,0,0.5384615659713745,3.0617716312408447,0.20000000298023224,0.699999988079071,0,0.4545454680919647,2.909090995788574,3,1.3545454740524292,0.3333333432674408,0.800000011920929,0,0.6000000238418579,3.8000001907348633,1.7333333492279053,2.0090909004211426,2.6666667461395264,3,1,1,1,2,1,1,1,2,1,2,1,7,4,2,1,0,1
Energy & Minerals Group,2007,22,12423.6,0,13,2063.300048828125,0.7692307829856873,2016.230712890625,NA,0.08440852165222168,NA,14,7.632061958312988,4042,0,0,1,8.304494857788086,3.0910425186157227,37.40999984741211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
GTCR,1980,132,NA,0,10,24178,0.800000011920929,2016.5999755859375,NA,1.2748003005981445,19.292118072509766,41,10.093198776245117,15270,0,0,1,9.633645057678223,4.8828020095825195,19.292118072509766,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Platinum Equity,1995,300,23010,1,13,26460,0.6153846383094788,2017.15380859375,2,0.1787603497505188,13.463265419006348,26,10.183389663696289,19260,1,0,0,9.865785598754883,5.703782558441162,13.463265419006348,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3636363744735718,0.3333333432674408,0,0,1.7575757503509521,0.800000011920929,0.4000000059604645,0,0,3.200000047683716,0,1.2000000476837158,0.6666666865348816,0.4000000059604645,0,0,2.8000001907348633,1.0666667222976685,2,1.7333333492279053,3,1,0,1,3,1,2,1,6,1,5,1,12,7,0,0,0,0
Marlin Equity Partners,2005,84,6432.56,1,2,821.489990234375,1,2021,2,1.0203064680099487,NA,16,6.711119651794434,4466,1,0,0,8.404248237609863,4.430816650390625,17.709999084472656,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Harvest Partners,1981,85,NA,0,8,8273,1,2017.375,NA,0.18221907317638397,10.972234725952148,40,9.020752906799316,4030,0,1,0,8.301521301269531,4.442651271820068,10.972234725952148,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3076923191547394,0.6153846383094788,0,0,0,0.1818181872367859,0.3636363744735718,1,0.1818181872367859,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.3636363744735718,0.4000000059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EnCap Investments,1988,74,NA,0,2,486,1,2013,NA,NA,NA,33,6.186208724975586,12065,0,0,1,9.398063659667969,4.304065227508545,-6.019999980926514,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.27272728085517883,0.25,0.75,0.38461539149284363,2.8374125957489014,0.6000000238418579,0.30000001192092896,0.75,0.27272728085517883,3.6954545974731445,1,1.922727346420288,0.3333333432674408,0.4000000059604645,0.5,0.20000000298023224,2.700000047683716,1.433333396911621,2.795454502105713,1.9666666984558105,0,0,0,0,3,1,2,1,4,1,4,1,7,6,0,1,0,1
TPG,1992,1110,75908.88,1,50,97996.59375,0.5199999809265137,2015.699951171875,3,0.7917166948318481,8.232124328613281,29,11.492688179016113,32793,0,0,1,10.397970199584961,7.012115478515625,8.232124328613281,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0.25,0.25,0.6153846383094788,0,0,0.30000001192092896,0.25,0.5454545617103577,1.9409091472625732,0,1.0954545736312866,0,0.4000000059604645,0.5,0.6000000238418579,2.5,1.5,1.640909194946289,2.1000001430511475,0,0,0,0,3,1,2,1,2,1,2,1,5,4,0,2,0,2
Accel-KKR,2000,71,10405,0,11,9600,0.8181818127632141,2016.272705078125,2,0.25334641337394714,1.5207812786102295,21,9.16951847076416,9180,1,0,0,9.12478256225586,4.2626800537109375,1.5207812786102295,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
NGP Energy Capital Management,1988,59,13840.1,0,5,505,0.20000000298023224,2013.5999755859375,1,NA,NA,33,6.224558353424072,5252,0,0,1,8.566364288330078,4.077537536621094,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Peak Rock Capital,2013,61,NA,1,3,NA,NA,2017.800048828125,NA,NA,NA,8,NA,3400,0,0,1,8.13153076171875,4.110873699188232,25.229999542236328,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Linden,2004,31,5605,0,7,5980,0.7142857313156128,2018.4285888671875,NA,0.8033463358879089,10.466136932373047,17,8.696175575256348,4959,0,0,1,8.508959770202637,3.4339871406555176,10.466136932373047,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
The Riverside Company,1988,363,9350.38,1,24,8555.6796875,0.875,2015.7916259765625,2,1.1994272470474243,7.676797389984131,33,9.054350852966309,4970,0,1,0,8.511175155639648,5.894402980804443,7.676797389984131,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0,0,0.5,0,0.10000000149011612,0,0,0.20000000298023224,1,0.10000000149011612,0,0.20000000298023224,0,0,0.4000000059604645,0.20000000298023224,0.10000000149011612,0.20000000298023224,0,0,0,0,3,1,3,1,6,1,5,1,9,8,0,0,1,1
Oak Hill Capital Partners,1986,46,6450,0,4,10250,1,2016,NA,NA,12.092682838439941,35,9.23503303527832,11207,0,1,0,9.324294090270996,3.828641414642334,12.092682838439941,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0.4166666567325592,0,0.692307710647583,2.2179486751556396,0,0.30000001192092896,0,0.6363636255264282,1.8727272748947144,2,0.9363636374473572,0,0.4000000059604645,0,0.6000000238418579,2,1,1.5727272033691406,1.600000023841858,0,0,0,0,2,1,2,1,2,1,2,1,4,4,0,2,0,2
Apollo Global Management,1990,2540,NA,1,38,68950.1015625,0.7105262875556946,2018.76318359375,NA,0.4111771881580353,19.08926010131836,31,11.141138076782227,31306,0,1,0,10.35156536102295,7.839919567108154,19.08926010131836,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0.4545454680919647,1,1,0.6153846383094788,5.594405651092529,1,1,1,0.5454545617103577,7.090909004211426,3,3.545454502105713,1,1,1,0.6000000238418579,7.199999809265137,3.5999999046325684,5.090909004211426,5.199999809265137,3,1,0,1,0,1,0,1,2,1,2,1,5,2,0,2,1,3
Quantum Energy Partners,1998,78,10790,0,5,1756,0.6000000238418579,2018,1,NA,10.976651191711426,23,7.470793724060059,5580,0,0,1,8.626943588256836,4.356709003448486,10.976651191711426,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.1818181872367859,0.1666666716337204,0,0.1538461595773697,1.1864802837371826,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
New Mountain Capital,2008,152,19373.8,0,8,25889.80078125,1,2013.625,1,1.2392137050628662,14.829492568969727,13,10.161603927612305,17032,0,1,0,9.742849349975586,5.023880481719971,14.829492568969727,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Levine Leichtman Capital Partners,1984,64,NA,1,9,8001.2001953125,0.8888888955116272,2014.3333740234375,NA,NA,12.617218971252441,37,8.987346649169922,4710,1,0,0,8.4574432373046875,4.158883094787598,12.617218971252441,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
Francisco Partners,1999,88,36530.7,0,9,24705.69921875,0.3333333432674408,2020.888916015625,2,NA,NA,22,10.114789009094238,32316,1,0,0,10.383317947387695,4.477336883544922,23.170000076293945,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellman & Friedman,1984,92,52521.3,1,20,69621.703125,0.5,2019.300048828125,1,0.9572557210922241,9.219427108764648,37,11.15083122253418,40925,1,0,0,10.61949634552002,4.521788597106934,9.219427108764648,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.25,0,0,0,0,0.30000001192092896,0,0,0,1,0,0,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
KKR,1976,1187,126145.58,1,31,115471.703125,0.6129032373428345,2017.3226318359375,3,0.42156001925468445,12.302447319030762,45,11.656781196594238,126508,0,1,0,11.748061180114746,7.079184532165527,12.302447319030762,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.4545454680919647,0.5833333134651184,0.25,0.7692307829856873,4.318764686584473,0.20000000298023224,0.699999988079071,0.25,0.7272727489471436,3.704545497894287,6,1.8772727251052856,0.3333333432674408,0.800000011920929,0.5,0.800000011920929,4.700000286102295,2.433333396911621,2.8045454025268555,3.566666603088379,2,1,1,1,2,1,1,1,1,1,1,1,5,3,2,2,2,4
Stone Point Capital,1987,153,26121,0,7,33067,1,2013.2857666015625,2,0.18761397898197174,8.683418273925781,34,10.406291007995605,26390,0,0,1,10.180740356445312,5.03043794631958,8.683418273925781,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1666666716337204,0,0,0,0,0.20000000298023224,0,0,0,0,0,0,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine Investors,2001,73,4599.4,0,9,4981.39990234375,0.8888888955116272,2016.888916015625,1,0.2994837462902069,3.0889711380004883,20,8.513465881347656,3872,1,0,0,8.261526107788086,4.290459632873535,3.0889711380004883,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.7692307829856873,1.5384615659713745,0,0,0,0.7272727489471436,1.454545497894287,1,0.7272727489471436,0,0,0,0.800000011920929,1.600000023841858,0.800000011920929,1.454545497894287,1.600000023841858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
